trip_id,trip_date,city,vehicle_type,distance_km,fare,driver_id,passenger_count,payment_method,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,weather,traffic_level
250000,2025-01-09,Kathmandu,Bike,3.11,522.82,4836,3,Card,27.585475,85.217113,27.682731,85.408751,Cloudy,Medium
250001,2025-02-04,Pokhara,Taxi,23.09,789.98,7342,2,Digital,27.902557,85.258411,27.965629,85.694956,Rainy,High
250002,2025-10-09,Lalitpur,Car,15.53,1253.65,2533,1,Cash,27.788796,85.362611,27.85173,85.4418,Sunny,Low
250003,2025-07-18,Bhaktapur,Bike,29.28,1094.71,4312,1,Card,27.973802,85.417943,27.581796,85.503504,Cloudy,Medium
250004,2025-05-03,Biratnagar,Taxi,28.15,880.83,7522,4,Digital,27.604685,85.339158,27.503163,85.400697,Rainy,High
250005,2025-01-13,Kathmandu,Car,18.88,1453.42,4123,3,Cash,27.683321,85.630093,27.729428,85.649363,Sunny,Low
250006,2025-04-08,Pokhara,Bike,6.95,528.29,6954,3,Card,27.903934,85.603474,27.611486,85.526021,Cloudy,Medium
250007,2025-12-11,Lalitpur,Taxi,23.96,1588.72,1491,4,Digital,27.856757,85.33591,27.970164,85.202213,Rainy,High
250008,2025-04-14,Bhaktapur,Car,10.23,320.23,4689,1,Cash,27.859766,85.212443,27.663496,85.272962,Sunny,Low
250009,2025-01-30,Biratnagar,Bike,26.28,1305.1,5358,2,Card,27.656676,85.50788,27.716017,85.35575,Cloudy,Medium
250010,2025-08-07,Kathmandu,Taxi,20.37,1304.27,457,4,Digital,27.903125,85.273744,27.657066,85.419752,Rainy,High
250011,2025-01-11,Pokhara,Car,1.22,131.97,9092,4,Cash,27.554075,85.57278,27.640001,85.306085,Sunny,Low
250012,2025-06-07,Lalitpur,Bike,17.09,1178.9,4096,1,Card,27.668112,85.641272,27.8236,85.607732,Cloudy,Medium
250013,2025-10-10,Bhaktapur,Taxi,19.49,162.53,3550,3,Digital,27.906665,85.603373,27.545787,85.301661,Rainy,High
250014,2025-08-09,Biratnagar,Car,22.48,1469.63,7357,2,Cash,27.738247,85.673816,27.755005,85.22666,Sunny,Low
250015,2025-01-02,Kathmandu,Bike,17.17,675.14,3681,3,Card,27.762364,85.2753,27.783744,85.431452,Cloudy,Medium
250016,2025-01-15,Pokhara,Taxi,4.8,1422.5,5240,2,Digital,27.985063,85.656678,27.524059,85.481661,Rainy,High
250017,2025-10-06,Lalitpur,Car,21.97,786.98,6019,1,Cash,27.811608,85.694096,27.740314,85.314596,Sunny,Low
250018,2025-08-02,Bhaktapur,Bike,7.08,1483.23,1181,4,Card,27.754484,85.435025,27.883043,85.398675,Cloudy,Medium
250019,2025-06-05,Biratnagar,Taxi,11.84,706.93,4988,1,Digital,27.773375,85.221326,27.908131,85.527893,Rainy,High
250020,2025-01-15,Kathmandu,Car,23.69,114.58,6118,2,Cash,27.507049,85.506108,27.642719,85.341644,Sunny,Low
250021,2025-05-14,Pokhara,Bike,1.38,1505.38,208,1,Card,27.814325,85.653726,27.828929,85.479201,Cloudy,Medium
250022,2025-06-10,Lalitpur,Taxi,29.33,1284.69,9683,4,Digital,27.511085,85.389092,27.515371,85.493288,Rainy,High
250023,2025-03-30,Bhaktapur,Car,26.46,1328.36,5707,1,Cash,27.865669,85.362977,27.650486,85.681071,Sunny,Low
250024,2025-07-21,Biratnagar,Bike,2.38,1324.27,242,3,Card,27.841132,85.247797,27.972036,85.669817,Cloudy,Medium
250025,2025-01-21,Kathmandu,Taxi,4.55,239.45,9257,2,Digital,27.549328,85.253068,27.874529,85.579912,Rainy,High
250026,2025-12-31,Pokhara,Car,29.65,404.7,1218,1,Cash,27.533112,85.228098,27.919976,85.678418,Sunny,Low
250027,2025-09-20,Lalitpur,Bike,14.06,122.1,7422,3,Card,27.753812,85.636962,27.967343,85.619962,Cloudy,Medium
250028,2025-04-12,Bhaktapur,Taxi,12.89,1243.27,1381,2,Digital,27.597063,85.379581,27.571412,85.25619,Rainy,High
250029,2025-02-04,Biratnagar,Car,30.31,1536.1,2443,4,Cash,27.859813,85.6235,27.506374,85.290654,Sunny,Low
250030,2025-10-11,Kathmandu,Bike,19.56,386.61,2050,2,Card,27.715482,85.234287,27.79423,85.693864,Cloudy,Medium
250031,2025-10-23,Pokhara,Taxi,11.45,643.19,8665,4,Digital,27.830335,85.390742,27.795365,85.498275,Rainy,High
250032,2025-03-15,Lalitpur,Car,14.87,540.86,8874,4,Cash,27.999039,85.697677,27.595264,85.477391,Sunny,Low
250033,2025-06-24,Bhaktapur,Bike,6.16,968.05,2587,4,Card,27.84968,85.442179,27.977081,85.51475,Cloudy,Medium
250034,2025-09-20,Biratnagar,Taxi,21.91,1243.86,4614,3,Digital,27.6811,85.58891,27.592404,85.536926,Rainy,High
250035,2025-10-15,Kathmandu,Car,9.22,1167.42,6365,3,Cash,27.991065,85.496887,27.556677,85.574105,Sunny,Low
250036,2025-01-19,Pokhara,Bike,8.94,508.63,300,2,Card,27.785487,85.307973,27.726448,85.203529,Cloudy,Medium
250037,2025-02-28,Lalitpur,Taxi,27.27,1242.81,4466,1,Digital,27.801936,85.68748,27.700116,85.256906,Rainy,High
250038,2025-03-12,Bhaktapur,Car,15.6,712.08,2568,4,Cash,27.956751,85.55979,27.838857,85.61308,Sunny,Low
250039,2025-06-02,Biratnagar,Bike,22.37,229.64,1474,4,Card,27.95762,85.690539,27.911275,85.253289,Cloudy,Medium
250040,2025-01-11,Kathmandu,Taxi,23.89,308.21,3646,4,Digital,27.780098,85.505795,27.651305,85.287195,Rainy,High
250041,2025-08-16,Pokhara,Car,21.58,518.65,7432,3,Cash,27.751526,85.254769,27.681789,85.451967,Sunny,Low
250042,2025-09-21,Lalitpur,Bike,14.5,225.43,1822,3,Card,27.5194,85.534371,27.943605,85.599338,Cloudy,Medium
250043,2025-07-26,Bhaktapur,Taxi,26.92,1591.57,9926,4,Digital,27.579948,85.503254,27.799113,85.469801,Rainy,High
250044,2025-12-25,Biratnagar,Car,15.28,282.85,3950,1,Cash,27.542488,85.268965,27.692453,85.231051,Sunny,Low
250045,2025-08-17,Kathmandu,Bike,11.23,1518.77,2508,2,Card,27.846401,85.293538,27.536576,85.40677,Cloudy,Medium
250046,2025-05-19,Pokhara,Taxi,9.52,1593.83,7109,3,Digital,27.641017,85.520804,27.91018,85.405822,Rainy,High
250047,2025-03-07,Lalitpur,Car,13.3,338.68,4414,1,Cash,27.525337,85.664329,27.678379,85.615555,Sunny,Low
250048,2025-01-18,Bhaktapur,Bike,19.01,981.17,1749,4,Card,27.805526,85.391815,27.549495,85.56411,Cloudy,Medium
250049,2025-11-01,Biratnagar,Taxi,7.17,1576.91,1378,1,Digital,27.763325,85.499866,27.766741,85.23575,Rainy,High
250050,2025-04-22,Kathmandu,Car,11.91,1143.18,2310,2,Cash,27.775725,85.477253,27.562639,85.432278,Sunny,Low
250051,2025-01-02,Pokhara,Bike,28.04,379.94,8999,1,Card,27.532499,85.69794,27.904542,85.50543,Cloudy,Medium
250052,2025-06-28,Lalitpur,Taxi,28.74,345.18,5995,4,Digital,27.910186,85.529069,27.544405,85.49799,Rainy,High
250053,2025-09-23,Bhaktapur,Car,12.99,809.37,9163,4,Cash,27.930482,85.562776,27.538013,85.292792,Sunny,Low
250054,2025-03-01,Biratnagar,Bike,20.77,1270.94,4292,4,Card,27.63642,85.451048,27.526664,85.516722,Cloudy,Medium
250055,2025-12-07,Kathmandu,Taxi,29.0,743.88,7873,2,Digital,27.955019,85.447297,27.843227,85.441321,Rainy,High
250056,2025-12-01,Pokhara,Car,14.52,115.33,7196,2,Cash,27.942327,85.303293,27.783026,85.541221,Sunny,Low
250057,2025-02-08,Lalitpur,Bike,6.06,1280.88,4262,2,Card,27.54485,85.348867,27.526868,85.243727,Cloudy,Medium
250058,2025-03-06,Bhaktapur,Taxi,6.16,201.22,4549,3,Digital,27.826231,85.44189,27.962799,85.245372,Rainy,High
250059,2025-12-08,Biratnagar,Car,18.83,651.83,1116,1,Cash,27.618931,85.593157,27.544005,85.400513,Sunny,Low
250060,2025-05-11,Kathmandu,Bike,16.0,445.98,9342,3,Card,27.767639,85.588741,27.523083,85.356554,Cloudy,Medium
250061,2025-04-02,Pokhara,Taxi,14.28,199.89,664,4,Digital,27.560767,85.312195,27.665504,85.282371,Rainy,High
250062,2025-09-27,Lalitpur,Car,29.36,1117.57,798,2,Cash,27.788598,85.512772,27.9508,85.323124,Sunny,Low
250063,2025-05-17,Bhaktapur,Bike,13.83,210.82,7579,2,Card,27.904601,85.490711,27.764461,85.34863,Cloudy,Medium
250064,2025-03-07,Biratnagar,Taxi,2.97,1311.77,7370,2,Digital,27.888348,85.332317,27.737109,85.487815,Rainy,High
250065,2025-12-11,Kathmandu,Car,20.35,570.63,7268,1,Cash,27.860425,85.208144,27.994161,85.342184,Sunny,Low
250066,2025-12-07,Pokhara,Bike,27.57,865.03,1436,2,Card,27.965899,85.252416,27.677074,85.405472,Cloudy,Medium
250067,2025-10-19,Lalitpur,Taxi,20.27,218.96,4909,3,Digital,27.516023,85.673341,27.762351,85.67662,Rainy,High
250068,2025-05-27,Bhaktapur,Car,18.23,1313.86,1923,2,Cash,27.96018,85.347748,27.539868,85.653127,Sunny,Low
250069,2025-08-09,Biratnagar,Bike,13.21,1594.4,8736,1,Card,27.918049,85.435256,27.625219,85.412114,Cloudy,Medium
250070,2025-12-20,Kathmandu,Taxi,18.16,1441.18,1538,2,Digital,27.599425,85.593274,27.523172,85.611193,Rainy,High
250071,2025-08-18,Pokhara,Car,2.35,170.14,5071,2,Cash,27.960371,85.61572,27.913674,85.394886,Sunny,Low
250072,2025-05-11,Lalitpur,Bike,4.94,1502.16,5373,4,Card,27.660233,85.223015,27.770118,85.333482,Cloudy,Medium
250073,2025-01-30,Bhaktapur,Taxi,14.82,707.29,3574,1,Digital,27.742004,85.340154,27.704587,85.229271,Rainy,High
250074,2025-01-02,Biratnagar,Car,29.47,1244.55,3365,2,Cash,27.77057,85.358169,27.528459,85.666975,Sunny,Low
250075,2025-10-31,Kathmandu,Bike,17.62,1545.36,2745,2,Card,27.691098,85.612896,27.763876,85.416792,Cloudy,Medium
250076,2025-10-22,Pokhara,Taxi,1.97,1439.56,16,1,Digital,27.633522,85.32911,27.834141,85.351502,Rainy,High
250077,2025-03-20,Lalitpur,Car,4.6,520.52,4942,1,Cash,27.922366,85.320285,27.989975,85.452945,Sunny,Low
250078,2025-04-10,Bhaktapur,Bike,25.21,275.47,4832,2,Card,27.66069,85.681601,27.712838,85.571993,Cloudy,Medium
250079,2025-05-03,Biratnagar,Taxi,11.19,1034.05,1403,1,Digital,27.660141,85.497198,27.580211,85.421101,Rainy,High
250080,2025-06-12,Kathmandu,Car,26.32,1175.1,6226,3,Cash,27.967635,85.22707,27.910504,85.313037,Sunny,Low
250081,2025-04-18,Pokhara,Bike,16.51,924.33,7871,3,Card,27.529925,85.519968,27.820234,85.660446,Cloudy,Medium
250082,2025-02-11,Lalitpur,Taxi,4.79,746.59,2954,2,Digital,27.737076,85.306279,27.959535,85.397561,Rainy,High
250083,2025-05-30,Bhaktapur,Car,16.58,1046.28,9606,3,Cash,27.886499,85.514968,27.933331,85.471006,Sunny,Low
250084,2025-02-16,Biratnagar,Bike,25.08,1408.0,9473,1,Card,27.718343,85.422129,27.901879,85.271762,Cloudy,Medium
250085,2025-08-02,Kathmandu,Taxi,20.99,357.74,9479,4,Digital,27.943761,85.26142,27.911922,85.20333,Rainy,High
250086,2025-04-16,Pokhara,Car,5.02,1436.08,3940,1,Cash,27.832858,85.432113,27.572631,85.528374,Sunny,Low
250087,2025-12-21,Lalitpur,Bike,26.25,1147.28,1517,2,Card,27.641681,85.599901,27.692842,85.244223,Cloudy,Medium
250088,2025-12-24,Bhaktapur,Taxi,16.38,1208.71,6793,3,Digital,27.933146,85.60839,27.757412,85.576609,Rainy,High
250089,2025-05-02,Biratnagar,Car,7.58,254.52,2172,1,Cash,27.866326,85.553875,27.950127,85.228454,Sunny,Low
250090,2025-07-25,Kathmandu,Bike,17.95,1293.82,1155,4,Card,27.809018,85.478347,27.886979,85.28856,Cloudy,Medium
250091,2025-04-18,Pokhara,Taxi,16.6,1309.2,5488,3,Digital,27.859799,85.273857,27.592347,85.31074,Rainy,High
250092,2025-02-07,Lalitpur,Car,16.07,909.83,149,4,Cash,27.604474,85.428774,27.529435,85.60952,Sunny,Low
250093,2025-11-26,Bhaktapur,Bike,18.96,703.05,7863,3,Card,27.522136,85.33647,27.907101,85.613661,Cloudy,Medium
250094,2025-12-31,Biratnagar,Taxi,15.47,996.76,9057,4,Digital,27.717668,85.269266,27.712088,85.525943,Rainy,High
250095,2025-07-26,Kathmandu,Car,17.42,1478.32,4924,2,Cash,27.786299,85.301957,27.553219,85.487163,Sunny,Low
250096,2025-07-26,Pokhara,Bike,26.66,406.08,5214,2,Card,27.866945,85.364271,27.840426,85.420515,Cloudy,Medium
250097,2025-02-17,Lalitpur,Taxi,27.3,1337.22,3906,1,Digital,27.703404,85.502138,27.536699,85.37591,Rainy,High
250098,2025-08-06,Bhaktapur,Car,29.62,690.57,5175,2,Cash,27.89895,85.248111,27.800395,85.46606,Sunny,Low
250099,2025-11-18,Biratnagar,Bike,29.27,489.29,5872,1,Card,27.877315,85.413897,27.723168,85.533807,Cloudy,Medium
250100,2025-02-05,Kathmandu,Taxi,23.06,703.77,8525,2,Digital,27.855424,85.445814,27.884463,85.249519,Rainy,High
250101,2025-05-22,Pokhara,Car,19.97,1334.08,1443,2,Cash,27.7617,85.425016,27.820351,85.200327,Sunny,Low
250102,2025-02-13,Lalitpur,Bike,24.53,837.74,3866,4,Card,27.837086,85.590991,27.578664,85.486399,Cloudy,Medium
250103,2025-08-13,Bhaktapur,Taxi,22.92,1024.4,7558,2,Digital,27.874906,85.341832,27.900321,85.659697,Rainy,High
250104,2025-08-16,Biratnagar,Car,4.61,616.98,4303,1,Cash,27.694428,85.622637,27.984913,85.308817,Sunny,Low
250105,2025-12-27,Kathmandu,Bike,17.35,1544.45,3504,3,Card,27.700567,85.256612,27.714179,85.585392,Cloudy,Medium
250106,2025-09-09,Pokhara,Taxi,11.28,868.86,181,2,Digital,27.585418,85.661141,27.677601,85.588292,Rainy,High
250107,2025-06-03,Lalitpur,Car,1.16,147.0,3651,3,Cash,27.501253,85.585738,27.820548,85.530425,Sunny,Low
250108,2025-01-23,Bhaktapur,Bike,23.61,982.23,4637,4,Card,27.789503,85.306019,27.677246,85.205433,Cloudy,Medium
250109,2025-01-06,Biratnagar,Taxi,17.72,1524.37,7388,3,Digital,27.698956,85.264158,27.98422,85.491715,Rainy,High
250110,2025-10-29,Kathmandu,Car,13.52,210.87,1767,1,Cash,27.857159,85.315413,27.863252,85.471814,Sunny,Low
250111,2025-05-25,Pokhara,Bike,17.46,134.12,7785,2,Card,27.529367,85.475795,27.544885,85.423433,Cloudy,Medium
250112,2025-09-29,Lalitpur,Taxi,18.44,912.59,99,3,Digital,27.96875,85.455818,27.708415,85.65584,Rainy,High
250113,2025-04-21,Bhaktapur,Car,23.15,1417.72,7917,2,Cash,27.693518,85.641865,27.852594,85.336224,Sunny,Low
250114,2025-11-13,Biratnagar,Bike,25.87,250.31,6803,3,Card,27.954391,85.331491,27.673404,85.302889,Cloudy,Medium
250115,2025-01-10,Kathmandu,Taxi,8.25,817.46,2235,3,Digital,27.588342,85.669929,27.746132,85.693444,Rainy,High
250116,2025-10-02,Pokhara,Car,12.68,1251.56,65,2,Cash,27.611503,85.526683,27.942541,85.416724,Sunny,Low
250117,2025-08-20,Lalitpur,Bike,13.82,799.69,589,2,Card,27.925098,85.557094,27.835393,85.451198,Cloudy,Medium
250118,2025-10-17,Bhaktapur,Taxi,17.2,833.06,8362,4,Digital,27.515912,85.32759,27.939731,85.494062,Rainy,High
250119,2025-03-08,Biratnagar,Car,14.73,1252.76,9931,2,Cash,27.757495,85.446629,27.515501,85.664465,Sunny,Low
250120,2025-06-09,Kathmandu,Bike,3.24,1112.17,7231,4,Card,27.518403,85.223102,27.850753,85.541499,Cloudy,Medium
250121,2025-07-06,Pokhara,Taxi,3.55,1238.34,3222,1,Digital,27.518968,85.534249,27.570229,85.6065,Rainy,High
250122,2025-07-15,Lalitpur,Car,25.51,303.52,952,1,Cash,27.524373,85.405641,27.976666,85.289991,Sunny,Low
250123,2025-05-27,Bhaktapur,Bike,20.37,661.08,299,2,Card,27.885119,85.264147,27.544375,85.233596,Cloudy,Medium
250124,2025-09-28,Biratnagar,Taxi,23.65,667.29,9828,2,Digital,27.854327,85.274083,27.618239,85.481821,Rainy,High
250125,2025-12-29,Kathmandu,Car,6.01,453.03,8064,3,Cash,27.844912,85.231878,27.652802,85.513671,Sunny,Low
250126,2025-07-26,Pokhara,Bike,9.55,444.39,7811,3,Card,27.598715,85.579889,27.664696,85.360271,Cloudy,Medium
250127,2025-08-05,Lalitpur,Taxi,6.21,848.7,6088,4,Digital,27.589621,85.300007,27.848652,85.206163,Rainy,High
250128,2025-05-13,Bhaktapur,Car,29.64,728.47,5777,4,Cash,27.776955,85.298267,27.645581,85.565119,Sunny,Low
250129,2025-05-09,Biratnagar,Bike,27.56,768.71,2234,2,Card,27.801314,85.319444,27.655316,85.53154,Cloudy,Medium
250130,2025-10-11,Kathmandu,Taxi,15.79,1370.5,4009,4,Digital,27.746819,85.507272,27.530381,85.500278,Rainy,High
250131,2025-04-04,Pokhara,Car,9.54,553.01,9804,3,Cash,27.522555,85.607289,27.962742,85.476566,Sunny,Low
250132,2025-03-05,Lalitpur,Bike,11.38,345.12,361,2,Card,27.575396,85.234223,27.618904,85.687981,Cloudy,Medium
250133,2025-10-06,Bhaktapur,Taxi,18.65,1166.17,9474,2,Digital,27.907098,85.282718,27.857083,85.208463,Rainy,High
250134,2025-02-01,Biratnagar,Car,11.45,1233.51,2080,4,Cash,27.777035,85.306322,27.543843,85.211158,Sunny,Low
250135,2025-07-02,Kathmandu,Bike,9.48,1476.27,3215,1,Card,27.525135,85.541559,27.643545,85.271629,Cloudy,Medium
250136,2025-10-01,Pokhara,Taxi,20.91,154.91,4466,1,Digital,27.846324,85.475379,27.745184,85.517733,Rainy,High
250137,2025-06-21,Lalitpur,Car,11.7,370.84,1443,3,Cash,27.59223,85.614893,27.825891,85.430294,Sunny,Low
250138,2025-11-17,Bhaktapur,Bike,28.58,518.05,4147,3,Card,27.70469,85.568346,27.620318,85.691454,Cloudy,Medium
250139,2025-09-18,Biratnagar,Taxi,28.58,403.41,2992,1,Digital,27.611969,85.469562,27.886971,85.242493,Rainy,High
250140,2025-02-12,Kathmandu,Car,28.84,1221.37,6550,3,Cash,27.553738,85.61718,27.872949,85.579454,Sunny,Low
250141,2025-06-01,Pokhara,Bike,25.06,472.59,8509,2,Card,27.58698,85.69622,27.892221,85.506156,Cloudy,Medium
250142,2025-08-19,Lalitpur,Taxi,28.95,987.44,3036,4,Digital,27.904947,85.457823,27.551857,85.669404,Rainy,High
250143,2025-09-03,Bhaktapur,Car,20.04,740.25,5021,4,Cash,27.518279,85.605624,27.825086,85.539003,Sunny,Low
250144,2025-05-09,Biratnagar,Bike,25.74,869.4,3969,1,Card,27.73586,85.370928,27.71101,85.672104,Cloudy,Medium
250145,2025-08-24,Kathmandu,Taxi,23.47,114.41,750,2,Digital,27.951908,85.284881,27.88044,85.265362,Rainy,High
250146,2025-07-18,Pokhara,Car,28.99,136.24,8076,3,Cash,27.884649,85.406579,27.734037,85.547366,Sunny,Low
250147,2025-01-05,Lalitpur,Bike,26.68,1049.73,704,2,Card,27.954492,85.440444,27.905431,85.65874,Cloudy,Medium
250148,2025-02-07,Bhaktapur,Taxi,24.98,1362.24,3284,3,Digital,27.734921,85.69195,27.550471,85.292877,Rainy,High
250149,2025-06-17,Biratnagar,Car,2.73,1290.27,4009,3,Cash,27.706025,85.376782,27.839603,85.467976,Sunny,Low
250150,2025-01-21,Kathmandu,Bike,25.13,122.73,2632,4,Card,27.725098,85.31597,27.843744,85.643196,Cloudy,Medium
250151,2025-06-28,Pokhara,Taxi,22.47,1301.64,2775,3,Digital,27.781611,85.439452,27.898179,85.330939,Rainy,High
250152,2025-10-04,Lalitpur,Car,6.48,165.59,9208,2,Cash,27.601998,85.404498,27.921338,85.485204,Sunny,Low
250153,2025-06-30,Bhaktapur,Bike,3.03,926.48,9489,1,Card,27.915955,85.694646,27.567027,85.300984,Cloudy,Medium
250154,2025-09-03,Biratnagar,Taxi,12.72,111.25,7837,4,Digital,27.721636,85.604498,27.816432,85.212078,Rainy,High
