trip_id,trip_date,city,vehicle_type,distance_km,fare,driver_id,passenger_count,payment_method,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,weather,traffic_level
937500,2025-07-01,Kathmandu,Car,30.09,611.26,4725,3,Cash,27.819807,85.460626,27.969402,85.397163,Sunny,Low
937501,2025-03-03,Pokhara,Bike,3.26,1264.78,3286,3,Card,27.535111,85.437889,27.820613,85.4431,Cloudy,Medium
937502,2025-02-17,Lalitpur,Taxi,2.57,247.22,3865,4,Digital,27.655164,85.270693,27.590514,85.346198,Rainy,High
937503,2025-03-03,Bhaktapur,Car,17.35,578.17,2316,1,Cash,27.68193,85.625688,27.576438,85.366677,Sunny,Low
937504,2025-04-13,Biratnagar,Bike,10.9,369.03,7659,1,Card,27.883853,85.692819,27.872621,85.399097,Cloudy,Medium
937505,2025-11-07,Kathmandu,Taxi,20.64,499.0,839,3,Digital,27.726415,85.640921,27.847685,85.36074,Rainy,High
937506,2025-07-26,Pokhara,Car,26.09,492.01,5225,1,Cash,27.740266,85.393994,27.74427,85.217081,Sunny,Low
937507,2025-09-07,Lalitpur,Bike,20.26,692.79,1625,3,Card,27.628385,85.361716,27.977918,85.653197,Cloudy,Medium
937508,2025-07-20,Bhaktapur,Taxi,2.25,615.13,7015,1,Digital,27.605053,85.428059,27.990262,85.415624,Rainy,High
937509,2025-07-07,Biratnagar,Car,22.1,761.2,667,1,Cash,27.767069,85.484924,27.73015,85.573867,Sunny,Low
937510,2025-06-19,Kathmandu,Bike,22.19,1017.26,6033,2,Card,27.710394,85.22775,27.546278,85.493205,Cloudy,Medium
937511,2025-10-23,Pokhara,Taxi,25.2,754.38,5896,4,Digital,27.930101,85.601828,27.927111,85.488089,Rainy,High
937512,2025-05-23,Lalitpur,Car,24.09,404.97,7643,3,Cash,27.639141,85.62772,27.864885,85.505324,Sunny,Low
937513,2025-02-04,Bhaktapur,Bike,3.7,304.23,1598,1,Card,27.642297,85.599373,27.810563,85.687354,Cloudy,Medium
937514,2025-04-09,Biratnagar,Taxi,10.48,1060.43,2420,2,Digital,27.523332,85.627347,27.775692,85.566795,Rainy,High
937515,2025-07-01,Kathmandu,Car,20.26,1148.21,8628,1,Cash,27.704342,85.653272,27.56425,85.256439,Sunny,Low
937516,2025-03-01,Pokhara,Bike,21.93,1346.67,6576,4,Card,27.619759,85.285033,27.587202,85.383897,Cloudy,Medium
937517,2025-05-28,Lalitpur,Taxi,12.53,900.56,4671,4,Digital,27.736263,85.231251,27.801624,85.362192,Rainy,High
937518,2025-04-01,Bhaktapur,Car,16.36,1278.85,5733,2,Cash,27.623289,85.633513,27.898488,85.644311,Sunny,Low
937519,2025-06-26,Biratnagar,Bike,23.37,997.04,1800,3,Card,27.837538,85.402252,27.771921,85.571203,Cloudy,Medium
937520,2025-11-02,Kathmandu,Taxi,27.3,1556.89,4652,1,Digital,27.610052,85.550679,27.525735,85.621735,Rainy,High
937521,2025-01-27,Pokhara,Car,26.34,722.72,4805,1,Cash,27.93142,85.361192,27.680077,85.594348,Sunny,Low
937522,2025-04-26,Lalitpur,Bike,18.99,714.38,7690,1,Card,27.711563,85.313,27.616412,85.413278,Cloudy,Medium
937523,2025-02-20,Bhaktapur,Taxi,10.19,500.17,9979,3,Digital,27.505718,85.265956,27.932503,85.356843,Rainy,High
937524,2025-08-26,Biratnagar,Car,15.53,1385.03,1697,3,Cash,27.663519,85.391347,27.83012,85.222545,Sunny,Low
937525,2025-07-10,Kathmandu,Bike,10.47,127.29,4723,3,Card,27.636303,85.288449,27.796042,85.301195,Cloudy,Medium
937526,2025-10-24,Pokhara,Taxi,23.91,393.84,9704,4,Digital,27.505142,85.520307,27.623549,85.448856,Rainy,High
937527,2025-04-09,Lalitpur,Car,18.69,1004.8,9864,2,Cash,27.863139,85.583714,27.901268,85.54111,Sunny,Low
937528,2025-03-24,Bhaktapur,Bike,26.57,632.3,9957,1,Card,27.783388,85.315392,27.975352,85.492172,Cloudy,Medium
937529,2025-03-04,Biratnagar,Taxi,19.38,978.04,7403,3,Digital,27.781139,85.507992,27.897439,85.310624,Rainy,High
937530,2025-08-23,Kathmandu,Car,16.43,376.92,8739,3,Cash,27.806802,85.499367,27.777403,85.444335,Sunny,Low
937531,2025-07-07,Pokhara,Bike,22.1,175.95,7999,4,Card,27.712999,85.591346,27.523349,85.594462,Cloudy,Medium
937532,2025-03-24,Lalitpur,Taxi,16.78,1302.64,8729,2,Digital,27.669138,85.33994,27.509124,85.458036,Rainy,High
937533,2025-09-12,Bhaktapur,Car,3.98,871.56,5617,3,Cash,27.848506,85.439426,27.510456,85.428378,Sunny,Low
937534,2025-11-08,Biratnagar,Bike,1.81,144.26,2103,1,Card,27.809581,85.57583,27.56941,85.530691,Cloudy,Medium
937535,2025-07-29,Kathmandu,Taxi,24.66,607.81,3952,3,Digital,27.723201,85.218781,27.505842,85.490629,Rainy,High
937536,2025-11-10,Pokhara,Car,14.59,733.12,11,1,Cash,27.888431,85.331884,27.603924,85.335972,Sunny,Low
937537,2025-07-24,Lalitpur,Bike,7.52,968.32,383,1,Card,27.879609,85.290184,27.964113,85.227181,Cloudy,Medium
937538,2025-11-13,Bhaktapur,Taxi,19.49,1012.78,7775,3,Digital,27.55727,85.669457,27.660599,85.591084,Rainy,High
937539,2025-08-22,Biratnagar,Car,26.44,114.62,9763,2,Cash,27.893795,85.258351,27.976138,85.660313,Sunny,Low
937540,2025-08-22,Kathmandu,Bike,30.28,167.53,4592,2,Card,27.993171,85.436849,27.884497,85.448653,Cloudy,Medium
937541,2025-05-07,Pokhara,Taxi,11.12,707.34,5329,4,Digital,27.795057,85.684341,27.62953,85.280718,Rainy,High
937542,2025-05-28,Lalitpur,Car,6.16,1363.77,2649,4,Cash,27.615721,85.357502,27.515646,85.608003,Sunny,Low
937543,2025-05-19,Bhaktapur,Bike,30.3,435.15,1031,2,Card,27.712234,85.457363,27.858865,85.388938,Cloudy,Medium
937544,2025-10-25,Biratnagar,Taxi,27.7,1461.71,3765,1,Digital,27.606068,85.304325,27.699395,85.40931,Rainy,High
937545,2025-07-10,Kathmandu,Car,29.72,471.23,7564,4,Cash,27.573503,85.293239,27.906846,85.480298,Sunny,Low
