trip_id,trip_date,city,vehicle_type,distance_km,fare,driver_id,passenger_count,payment_method,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,weather,traffic_level
187500,2025-12-14,Kathmandu,Car,1.72,205.6,2818,2,Cash,27.857284,85.285475,27.517113,85.382731,Sunny,Low
187501,2025-01-25,Pokhara,Bike,3.85,1204.31,4599,3,Card,27.733109,85.602557,27.558411,85.665629,Cloudy,Medium
187502,2025-02-22,Lalitpur,Taxi,24.12,826.74,7690,2,Digital,27.514774,85.488796,27.662611,85.55173,Rainy,High
187503,2025-06-05,Bhaktapur,Car,17.34,1514.13,6631,2,Cash,27.607372,85.673802,27.717943,85.281796,Sunny,Low
187504,2025-01-03,Biratnagar,Bike,11.11,1457.68,5205,4,Card,27.973539,85.304685,27.639158,85.203163,Cloudy,Medium
187505,2025-06-26,Kathmandu,Taxi,2.03,993.86,9022,2,Digital,27.869652,85.383321,27.930093,85.429428,Rainy,High
187506,2025-05-27,Pokhara,Car,9.01,397.67,2855,3,Cash,27.829641,85.603934,27.903474,85.311486,Sunny,Low
187507,2025-12-01,Lalitpur,Bike,29.28,1248.1,9924,1,Card,27.889389,85.556757,27.63591,85.670164,Cloudy,Medium
187508,2025-02-04,Bhaktapur,Taxi,9.47,561.45,1468,2,Digital,27.589011,85.559766,27.512443,85.363496,Rainy,High
187509,2025-08-19,Biratnagar,Car,3.43,1363.81,8033,3,Cash,27.632055,85.356676,27.80788,85.416017,Sunny,Low
187510,2025-01-30,Kathmandu,Bike,18.93,1068.68,8028,1,Card,27.907877,85.603125,27.573744,85.357066,Cloudy,Medium
187511,2025-05-09,Pokhara,Taxi,1.83,110.98,213,4,Digital,27.979612,85.254075,27.87278,85.340001,Rainy,High
187512,2025-09-26,Lalitpur,Car,13.92,904.38,7192,2,Cash,27.616175,85.368112,27.941272,85.5236,Sunny,Low
187513,2025-06-09,Bhaktapur,Bike,24.24,1024.73,416,2,Card,27.753722,85.606665,27.903373,85.245787,Cloudy,Medium
187514,2025-12-30,Biratnagar,Taxi,19.1,1173.9,9130,3,Digital,27.653718,85.438247,27.973816,85.455005,Rainy,High
187515,2025-08-24,Kathmandu,Car,1.12,908.32,3834,2,Cash,27.834753,85.462364,27.5753,85.483744,Sunny,Low
187516,2025-10-04,Pokhara,Bike,2.17,289.97,8816,3,Card,27.632246,85.685063,27.956678,85.224059,Cloudy,Medium
187517,2025-07-23,Lalitpur,Taxi,23.92,1148.32,4579,3,Digital,27.526509,85.511608,27.994096,85.440314,Rainy,High
187518,2025-01-30,Bhaktapur,Car,18.54,403.82,9221,1,Cash,27.888859,85.454484,27.735025,85.583043,Sunny,Low
187519,2025-02-16,Biratnagar,Bike,13.77,642.1,4046,2,Card,27.551728,85.473375,27.521326,85.608131,Cloudy,Medium
187520,2025-12-03,Kathmandu,Taxi,2.15,1234.52,97,3,Digital,27.735091,85.207049,27.806108,85.342719,Rainy,High
187521,2025-05-10,Pokhara,Car,11.99,119.24,9369,1,Cash,27.536287,85.514325,27.953726,85.528929,Sunny,Low
187522,2025-10-09,Lalitpur,Bike,14.18,1516.61,7897,4,Card,27.979813,85.211085,27.689092,85.215371,Cloudy,Medium
187523,2025-04-08,Bhaktapur,Taxi,8.31,1372.94,8189,3,Digital,27.581789,85.565669,27.662977,85.350486,Rainy,High
187524,2025-11-11,Biratnagar,Car,17.58,169.18,8161,1,Cash,27.863105,85.541132,27.547797,85.672036,Sunny,Low
187525,2025-03-05,Kathmandu,Bike,2.65,277.61,929,4,Card,27.741048,85.249328,27.553068,85.574529,Cloudy,Medium
187526,2025-12-12,Pokhara,Taxi,30.97,1532.39,2031,1,Digital,27.503758,85.233112,27.528098,85.619976,Rainy,High
187527,2025-04-08,Lalitpur,Car,22.58,752.93,147,3,Cash,27.872943,85.453812,27.936962,85.667343,Sunny,Low
187528,2025-08-08,Bhaktapur,Bike,9.31,694.56,7621,1,Card,27.735423,85.297063,27.679581,85.271412,Cloudy,Medium
187529,2025-03-18,Biratnagar,Taxi,3.85,1565.5,9574,1,Digital,27.893075,85.559813,27.9235,85.206374,Rainy,High
187530,2025-10-02,Kathmandu,Car,24.27,1027.86,1910,1,Cash,27.658343,85.415482,27.534287,85.49423,Sunny,Low
187531,2025-07-14,Pokhara,Bike,25.25,622.64,3621,4,Card,27.948951,85.530335,27.690742,85.495365,Cloudy,Medium
187532,2025-11-14,Lalitpur,Taxi,7.03,793.5,2939,4,Digital,27.918934,85.699039,27.997677,85.295264,Rainy,High
187533,2025-12-25,Bhaktapur,Car,15.3,358.12,5786,2,Cash,27.98492,85.54968,27.742179,85.677081,Sunny,Low
187534,2025-11-16,Biratnagar,Bike,22.56,1145.3,7625,2,Card,27.799988,85.3811,27.88891,85.292404,Cloudy,Medium
187535,2025-10-14,Kathmandu,Taxi,24.64,511.07,7116,3,Digital,27.851872,85.691065,27.796887,85.256677,Rainy,High
